x,experiment,tree_ID,spec,drought_timing,block,rep,treatment,drought_start_doy,dendrometer,dendro_start_doy,dendro_end_doy,species_lat,species_en,genus,family,drought_tolerance,drought_index,wood_anatomy,deciduousness,diameter_1_init,diameter_2_init,diameter_3_init,height_1_init,height_2_init,height_3_init,,,diameter_1GS,height_1_corr,diameter_2GS,notes,height_1GS,height1G2,notes_height,SAM_status,doy_stage_1,doy_stage_2,doy_stage_3,doy_stage_4,shoot_height_date,shoot_height_date,photo_max_date,photo_max_date,biomass_root,biomass_old_shoot,biomass_new_shoot,biomass_adventitious_shoots,number_adventitious_shoots,status,,,,,,,
2,drought,Pico_Dro1_B1_R3,Pico,Dro1,1,3,drought_1,doy leaf-out,mag_den,April,Mai,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.4,,,26,,,,,12.6,,,,43,,,,,132,,,,,,,20.6,16.8,6.5,0.0,0.0,,,,,,,,
1,drought,Pico_Dro1_B1_R4,Pico,Dro1,1,4,drought_1,doy leaf-out,mag_den,April,Mai,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.3,,,27.5,,,,,12.2,,,,44.5,,,,,132,,,,,,,18.7,15.0,6.2,0.0,0.0,,,,,,,,
2,drought,Pico_Dro1_B1_R5,Pico,Dro1,1,5,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.2,,,31,,,,,12.7,,,,50,,,,132,135,,,,,,,21.4,15.0,8.3,0.0,0.0,,,,,,,,
1,drought,Pico_Dro1_B2_R6,Pico,Dro1,2,6,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,7.4,,,24,,,,,10.1,,,,39.5,,,,132,,,,,,,,18.1,8.5,4.1,0.0,0.0,,,,,,,,
2,drought,Pico_Dro1_B2_R7,Pico,Dro1,2,7,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,14.6,,,35,,,,,7.5,,,dead,NA,,dead,,,132,,,,,,,4.0,4.7,1.3,0.0,0.0,dead,,,,,,,
1,drought,Pico_Dro1_B2_R8,Pico,Dro1,2,8,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.5,,,27.5,,,,,9.1,,,,NA,,dead,,,132,,,,,,,3.7,8.2,0.8,0.0,0.0,dead,,,,,,,
2,drought,Pico_Dro1_B2_R9,Pico,Dro1,2,9,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,9.3,,,25,,,,,13.2,,,,45,,,,132,135,,,,,,,24.1,14.3,9.9,0.0,0.0,,,,,,,,
1,drought,Pico_Dro1_B2_R10,Pico,Dro1,2,10,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,13.5,,,23,,,,,13.7,,,,33,,,,132,,,,,,,,16.9,7.0,3.9,0.0,0.0,,,,,,,,
2,drought,Pico_Dro1_B3_R11,Pico,Dro1,3,11,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.3,,,30,,,,,12.1,,,,48,,,,132,135,,,,,,,17.9,15.1,8.5,0.0,0.0,,,,,,,,
1,drought,Pico_Dro1_B3_R12,Pico,Dro1,3,12,drought_1,doy leaf-out,no,NA,NA,Pinus contorta latifolia,lodgepole pine,Pinus,Pinaceae,yes,4.21±0.38,non-porous,evergreen,8.6,,,36,,,,,12.7,,,,54,,,,132,135,,,,,,,13.7,17.2,4.0,0.0,0.0,,,,,,,,
