"","species","trmt","a","ase","b","bse","c","cse","per10mean","per10se","per50mean","per50se","per90mean","per90se","type"
"1","Acma","Con",8.9743377866638,0.387361368244218,265.888214764874,1.96985989701249,-10.2614672682664,1.18811183171946,288.43496284624,3.53008503833181,265.888214764874,1.96985989701249,243.341466683508,2.98816377931101,"A"
"2","Acma","Con",8.5073322011658,0.697364567386682,279.250171252261,3.92960792871916,-18.9725245979964,6.04037872993561,320.937068593095,15.1664412432888,279.250171252261,3.92960792871916,237.563273911427,12.3757143997557,"CCI"
"3","Acma","Con",93.7606806222504,1.13361437770912,274.127146844343,1.41081825962385,-4.36497741502039,0.337951744263308,283.717982500143,1.93903493256574,274.127146844343,1.41081825962385,264.536311188543,1.15053827355034,"Percentage"
"4","Acma","con_heat",17.8273181713522,1.46486512994751,281.290121029501,2.23887857495546,-14.1310738935702,2.24860522441367,312.339263892608,5.64990721693103,281.290121029501,2.23887857495546,250.240978166395,5.18888730439827,"CCI"
"5","Acma","con_heat",94.6727126002213,0.653281437199171,282.043634820836,1.61122882603395,-3.92658905538477,0.314431228653278,290.671232798427,1.63243818357394,282.043634820836,1.61122882603395,273.416036843245,1.86598006316563,"Percentage"
"6","Acma","defol1",17.3219021057445,2.89591178410015,280.16669496255,4.28975598432735,-14.9587198153514,2.70578552494296,313.034361786327,7.7785040053909,280.16669496255,4.28975598432735,247.299028138774,6.85493495498139,"CCI"
"7","Acma","defol1",54.958738389716,5.68839179824849,286.96909248917,1.92396630193274,-3.99369388245199,0.464520082563579,295.744134842051,2.58907619190665,286.96909248917,1.92396630193274,278.194050136289,1.66836751227409,"Percentage"
"8","Acma","defol2",15.3226637167665,2.07988935759928,295.545738432449,3.93963557788123,-14.7124411455418,3.95123223007061,327.872275710046,9.1613184876203,295.545738432449,3.93963557788123,263.219201154852,9.89227365085265,"CCI"
"9","Acma","defol2",44.1035264050997,5.66436763577339,293.433541078897,1.29430634619265,-3.45775017092024,0.450026597137765,301.030994736732,1.79157368117173,293.433541078897,1.29430634619265,285.836087421063,1.44782942153446,"Percentage"
"10","Acma","Dro1",25.4820997883808,3.544781030714,274.560712709146,3.7180983924481,-8.96345651299136,2.13992795581386,294.255439657375,4.36582295421168,274.560712709146,3.7180983924481,254.865985760917,7.26662725676606,"CCI"
