"","species","treatment","id","a","b","c","type","per10","per50","per90"
"56","Bepa","Dro3","Bepa_Dro3_B3_R12",17.6864215241059,283.768710311323,-8.63495127713709,"A",302.741637481549,283.768710311323,264.795783141097
"57","Bepa","Dro3","Bepa_Dro3_B3_R13",16.059855275569,292.507023031181,-4.77550531325682,"A",302.999880674669,292.507023031181,282.014165387693
"58","Bepa","Dro3","Bepa_Dro3_B3_R15",21.1691718524596,302.633208950196,-3.59759048071521,"A",310.537923173615,302.633208950196,294.728494726778
"59","Bepa","GS_ext","Bepa_GS_ext_B1_R1",15.8100192170473,296.035139684022,-2.52605833210432,"A",301.585457135107,296.035139684022,290.484822232938
"60","Bepa","GS_ext","Bepa_GS_ext_B1_R2",25.2859416224077,240.453390350252,43.0344806139763,"A",145.896971872324,240.453390350252,335.00980882818
"61","Bepa","GS_ext","Bepa_GS_ext_B1_R3",14.3359619437984,279.083774658851,-5.40352571619943,"A",290.956534166753,279.083774658851,267.211015150949
"62","Bepa","GS_ext","Bepa_GS_ext_B1_R4",15.4578642035498,276.396411993339,-9.87260372812561,"A",298.088739547077,276.396411993339,254.7040844396
"63","Bepa","GS_ext","Bepa_GS_ext_B1_R5",9.5233546666273,280.507246728434,-2.80474493903256,"A",286.669901241636,280.507246728434,274.344592215232
"64","Bepa","GS_ext","Bepa_GS_ext_B3_R12",17.6191498961156,272.677638019692,-6.96230102280186,"A",287.975376941805,272.677638019692,257.379899097578
"65","Bepa","GS_ext","Bepa_GS_ext_B3_R13",3.81700134150036,270.224759930351,-1.71230858531935,"A",273.987086437998,270.224759930351,266.462433422703
"66","Bepa","GS_ext","Bepa_GS_ext_B3_R14",14.294670107463,294.66814896679,-2.19482884249631,"A",299.49068084257,294.66814896679,289.845617091011
"67","Quma","Con","Quma_Con_B1_R1",9.02421199549406,276.46801913782,-7.9437036306055,"A",293.922119990061,276.46801913782,259.013918285578
"68","Quma","Con","Quma_Con_B1_R2",18.0015447060341,266.487950550263,-25.8971389421756,"A",323.389780716702,266.487950550263,209.586120383824
"69","Quma","Con","Quma_Con_B1_R3",6.0994175396937,279.554182400408,-4.01866070946905,"A",288.384082479228,279.554182400408,270.724282321587
"70","Quma","Con","Quma_Con_B1_R4",12.9388653984837,272.818228248803,-22.9672229554764,"A",323.282374999736,272.818228248803,222.35408149787
"71","Quma","Con","Quma_Con_B1_R5",16.4332395639477,272.25991355342,-19.9132703316977,"A",316.013840541366,272.25991355342,228.505986565474
"72","Quma","Con","Quma_Con_B3_R11",11.7032342103219,262.818631654943,-15.1842071713246,"A",296.181744839142,262.818631654943,229.455518470744
"73","Quma","Con","Quma_Con_B3_R12",11.5874191369946,267.149196334419,-9.01632212079921,"A",286.960080895419,267.149196334419,247.338311773419
"74","Quma","Con","Quma_Con_B3_R13",12.6063650903283,265.940931762881,-10.648741892758,"A",289.338609167359,265.940931762881,242.543254358404
"75","Quma","Con","Quma_Con_B3_R14",13.3003423556691,268.449841033194,-9.5299817372399,"A",289.389351127823,268.449841033194,247.510330938565
"76","Quma","Con","Quma_Con_B3_R15",9.32388145979521,270.514372819316,-8.17801139004678,"A",288.483300439262,270.514372819316,252.54544519937
"77","Quma","Dro3","Quma_Dro3_B1_R1",8.01392632337259,234.459381597053,3.36172497208013,"A",227.072916866153,234.459381597053,241.845846327952
"78","Quma","Dro3","Quma_Dro3_B1_R2",6.87778756152815,290.514042971856,-8.34818494509907,"A",308.856880109376,290.514042971856,272.171205834337
"79","Quma","Dro3","Quma_Dro3_B1_R4",7.7739131171282,292.332543820829,-12.2567748360326,"A",319.263430729436,292.332543820829,265.401656912222
"80","Quma","Dro3","Quma_Dro3_B1_R5",5.22895601969103,275.704176776424,-4.93441166674528,"A",286.546187365291,275.704176776424,264.862166187557
"81","Quma","Dro3","Quma_Dro3_B3_R15",10.2094819956519,279.379915539347,-3.65853363949944,"A",287.418535569067,279.379915539347,271.341295509628
