#,Date-Time (PDT),Ch: 1 - Temperature   (°C),Host Connected,Button Down,Button Up,End of File
138,03-18-2023 09:15:10,3.515,,,,
139,03-18-2023 09:25:10,3.290,,,,
140,03-18-2023 09:35:10,2.561,,,,
141,03-18-2023 09:45:10,2.196,,,,
142,03-18-2023 09:55:10,2.839,,,,
143,03-18-2023 10:05:10,3.676,,,,
144,03-18-2023 10:15:10,2.990,,,,
145,03-18-2023 10:25:10,2.400,,,,
146,03-18-2023 10:35:10,2.217,,,,
147,03-18-2023 10:45:10,3.526,,,,
148,03-18-2023 10:55:10,3.054,,,,
149,03-18-2023 11:05:10,2.485,,,,
150,03-18-2023 11:15:10,2.335,,,,
151,03-18-2023 11:25:10,3.022,,,,
152,03-18-2023 11:35:10,3.558,,,,
153,03-18-2023 11:45:10,2.914,,,,
154,03-18-2023 11:55:10,2.357,,,,
155,03-18-2023 12:05:10,2.292,,,,
156,03-18-2023 12:15:10,3.676,,,,
157,03-18-2023 12:25:10,3.183,,,,
158,03-18-2023 12:35:10,2.518,,,,
159,03-18-2023 12:45:10,2.110,,,,
160,03-18-2023 12:55:10,3.000,,,,
161,03-18-2023 13:05:10,3.408,,,,
162,03-18-2023 13:15:10,2.818,,,,
163,03-18-2023 13:25:10,2.239,,,,
164,03-18-2023 13:35:10,2.325,,,,
165,03-18-2023 13:45:10,3.515,,,,
166,03-18-2023 13:55:10,3.204,,,,
167,03-18-2023 14:05:10,2.496,,,,
168,03-18-2023 14:15:10,2.110,,,,
169,03-18-2023 14:25:10,3.086,,,,
170,03-18-2023 14:35:10,3.365,,,,
171,03-18-2023 14:45:10,2.818,,,,
172,03-18-2023 14:55:10,2.314,,,,
173,03-18-2023 15:05:10,2.378,,,,
174,03-18-2023 15:15:10,3.569,,,,
175,03-18-2023 15:25:10,2.968,,,,
176,03-18-2023 15:35:10,2.453,,,,
177,03-18-2023 15:45:10,2.121,,,,
178,03-18-2023 15:55:10,3.183,,,,
179,03-18-2023 16:05:10,3.419,,,,
180,03-18-2023 16:15:10,2.732,,,,
181,03-18-2023 16:25:10,2.314,,,,
182,03-18-2023 16:35:10,2.485,,,,
183,03-18-2023 16:45:10,3.612,,,,
184,03-18-2023 16:55:10,3.086,,,,
185,03-18-2023 17:05:10,2.346,,,,
186,03-18-2023 17:15:10,2.132,,,,
187,03-18-2023 17:25:10,3.129,,,,
188,03-18-2023 17:35:10,3.225,,,,
189,03-18-2023 17:45:10,2.818,,,,
190,03-18-2023 17:55:10,2.325,,,,
191,03-18-2023 18:05:10,2.582,,,,
192,03-18-2023 18:15:10,3.612,,,,
193,03-18-2023 18:25:10,3.054,,,,
194,03-18-2023 18:35:10,2.421,,,,
195,03-18-2023 18:45:10,2.314,,,,
196,03-18-2023 18:55:10,2.947,,,,
197,03-18-2023 19:05:10,2.721,,,,
198,03-18-2023 19:15:10,1.863,,,,
199,03-18-2023 19:25:10,1.692,,,,
200,03-18-2023 19:35:10,2.110,,,,
201,03-18-2023 19:45:10,3.000,,,,
202,03-18-2023 19:55:10,2.239,,,,
203,03-18-2023 20:05:10,1.713,,,,
204,03-18-2023 20:15:10,1.434,,,,
205,03-18-2023 20:25:10,2.603,,,,
206,03-18-2023 20:35:10,2.625,,,,
207,03-18-2023 20:45:10,1.853,,,,
208,03-18-2023 20:55:10,1.585,,,,
209,03-18-2023 21:05:10,2.132,,,,
210,03-18-2023 21:15:10,2.957,,,,
211,03-18-2023 21:25:10,2.174,,,,
212,03-18-2023 21:35:10,1.627,,,,
213,03-18-2023 21:45:10,1.445,,,,
214,03-18-2023 21:55:10,2.636,,,,
215,03-18-2023 22:05:10,2.571,,,,
216,03-18-2023 22:15:10,1.820,,,,
217,03-18-2023 22:25:10,1.563,,,,
218,03-18-2023 22:35:10,2.153,,,,
219,03-18-2023 22:45:10,2.979,,,,
